subnum,run,avg_comp,avg_stranger,avg_friend,avg_comp_logRT,avg_stranger_logRT,avg_friend_logRT,avg_comp_RT,avg_stranger_RT,avg_friend_RT,misses
113,4,2.500000,5.333333,5.666667,0.523319,0.573128,0.464597,1.696236,1.798313,1.599350,0.000000
113,5,2.666667,5.666667,5.666667,0.495571,0.471021,0.420005,1.651739,1.614805,1.526162,0.000000
115,1,2.888889,2.600000,3.090909,0.783660,0.741870,0.689132,2.243077,2.143153,2.026307,6.000000
115,2,3.333333,1.600000,1.666667,0.832628,0.628214,0.552454,2.329477,1.918633,1.753544,2.000000
115,3,1.454545,1.833333,1.500000,0.659465,0.597941,0.510045,1.967489,1.850813,1.711697,1.000000
115,4,2.666667,3.000000,1.818182,0.698813,0.745023,0.601554,2.047641,2.147153,1.858683,1.000000
115,5,1.666667,1.500000,1.600000,0.532204,0.675559,0.696887,1.819669,2.000456,2.060590,2.000000
116,1,1.333333,5.500000,5.166667,0.442548,0.422184,0.415957,1.579914,1.528033,1.535967,0.000000
116,2,3.166667,3.833333,4.166667,0.432730,0.436224,0.343558,1.578441,1.551966,1.418395,0.000000
116,3,5.166667,5.166667,5.166667,0.400420,0.506208,0.436071,1.494580,1.672689,1.552247,0.000000
116,4,1.833333,2.833333,4.000000,0.496459,0.411800,0.489160,1.655344,1.525826,1.652388,0.000000
116,5,3.166667,3.166667,4.500000,0.399009,0.473260,0.366110,1.496027,1.619275,1.450888,0.000000
117,1,2.833333,2.666667,3.833333,0.593832,0.553973,0.545722,1.848399,1.758608,1.752489,0.000000
117,2,1.833333,3.000000,3.833333,0.467952,0.527152,0.504009,1.615961,1.704135,1.700119,0.000000
117,3,3.636364,2.833333,2.833333,0.461422,0.422010,0.401598,1.644156,1.551273,1.514538,1.000000
117,4,3.333333,2.166667,3.333333,0.315157,0.218125,0.289543,1.377913,1.254356,1.351609,0.000000
117,5,3.166667,3.000000,4.000000,0.306110,0.234594,0.186243,1.386589,1.284872,1.210157,0.000000
118,1,3.777778,2.666667,2.909091,0.717225,0.718563,0.665603,2.084550,2.081713,1.992364,4.000000
118,2,4.333333,3.818182,2.909091,0.591825,0.613612,0.500209,1.830638,1.880967,1.681249,2.000000
118,3,3.000000,2.833333,2.833333,0.274165,0.179385,0.339638,1.366529,1.229882,1.475503,0.000000
118,4,1.333333,2.545455,2.181818,0.375458,0.422508,0.495011,1.492862,1.577152,1.700682,2.000000
118,5,4.181818,3.833333,4.727273,0.373410,0.244978,0.379626,1.510050,1.393938,1.517836,2.000000
120,1,4.000000,4.333333,3.666667,0.545651,0.474565,0.512486,1.743918,1.631470,1.696768,0.000000
120,2,3.666667,3.833333,4.181818,0.419086,0.350098,0.412878,1.541594,1.429160,1.554859,1.000000
120,3,1.833333,2.166667,2.166667,0.205445,0.275777,0.294947,1.239862,1.330788,1.363034,0.000000
120,4,2.166667,1.833333,2.000000,0.218919,0.299804,0.258988,1.249507,1.363929,1.307892,0.000000
120,5,2.666667,3.000000,3.666667,0.217259,0.255276,0.361219,1.255584,1.303095,1.457062,0.000000
121,1,2.166667,4.500000,5.166667,0.519967,0.541196,0.465560,1.703086,1.732885,1.595677,0.000000
121,2,3.666667,3.500000,5.333333,0.521467,0.555876,0.420116,1.690223,1.749227,1.528229,0.000000
121,3,3.833333,3.818182,5.166667,0.514725,0.445206,0.505234,1.684838,1.585220,1.661861,1.000000
121,4,3.333333,4.166667,4.500000,0.488816,0.470685,0.424656,1.638172,1.610368,1.535827,0.000000
121,5,5.166667,4.166667,5.000000,0.385516,0.400987,0.365063,1.477807,1.499446,1.444545,0.000000
122,1,3.833333,4.166667,4.833333,0.497163,0.466275,0.468531,1.657973,1.600318,1.603057,0.000000
122,2,5.166667,4.666667,5.000000,0.475305,0.520521,0.426367,1.620567,1.704392,1.536347,0.000000
122,3,5.666667,5.666667,5.500000,0.501070,0.448531,0.377513,1.679395,1.590029,1.466584,0.000000
122,4,5.666667,5.333333,5.666667,0.396702,0.477077,0.371409,1.496045,1.630422,1.454148,0.000000
122,5,5.500000,5.666667,5.333333,0.347257,0.356486,0.316968,1.419822,1.435031,1.375803,0.000000
124,1,5.500000,5.500000,5.666667,0.543386,0.606428,0.654301,1.758255,1.882899,1.956581,0.000000
124,2,5.500000,5.666667,5.666667,0.459088,0.404219,0.545406,1.600822,1.512163,1.761570,0.000000
124,3,5.666667,4.500000,4.909091,0.490343,0.567058,0.518828,1.649546,1.802782,1.743427,1.000000
124,4,5.666667,4.333333,4.333333,0.530128,0.494273,0.453348,1.728581,1.658942,1.610901,0.000000
124,5,5.666667,4.333333,4.666667,0.436654,0.493839,0.552892,1.578658,1.668253,1.765250,0.000000
125,1,1.400000,2.833333,4.000000,0.502002,0.579571,0.572627,1.663959,1.814141,1.805069,3.000000
125,2,4.833333,3.333333,5.000000,0.528397,0.589604,0.511470,1.718292,1.817294,1.699070,0.000000
125,3,5.666667,5.666667,4.666667,0.491384,0.426308,0.413084,1.666242,1.541490,1.536093,0.000000
125,4,4.666667,4.181818,5.000000,0.440089,0.473553,0.392972,1.597573,1.647795,1.505565,1.000000
125,5,5.090909,4.400000,4.000000,0.398047,0.334499,0.511422,1.508800,1.435132,1.692967,3.000000
126,1,2.600000,4.600000,3.833333,0.657956,0.557074,0.510547,1.979633,1.768579,1.681511,4.000000
126,2,3.818182,4.666667,2.166667,0.614363,0.540998,0.682087,1.865665,1.770557,2.002395,1.000000
126,3,1.333333,1.666667,2.166667,0.543662,0.459004,0.387363,1.773906,1.629852,1.505924,0.000000
126,4,1.500000,1.333333,2.333333,0.377104,0.411878,0.381304,1.468797,1.559004,1.544318,0.000000
126,5,2.666667,2.333333,2.833333,0.214036,0.052903,0.164831,1.344678,1.185993,1.354001,0.000000
127,1,2.000000,3.166667,3.500000,0.644667,0.625661,0.667047,1.921705,1.893027,1.968225,0.000000
127,2,2.333333,4.000000,2.333333,0.719425,0.657966,0.691168,2.077525,1.943922,2.011858,0.000000
127,3,3.090909,4.166667,3.000000,0.695701,0.720291,0.687746,2.031279,2.084408,2.032699,1.000000
127,4,2.500000,3.666667,3.666667,0.604429,0.619076,0.667469,1.840947,1.864596,1.969397,0.000000
127,5,3.500000,3.166667,3.666667,0.571231,0.608276,0.571595,1.780673,1.865177,1.785111,0.000000
128,1,5.333333,5.333333,4.666667,0.617937,0.450832,0.495564,1.888863,1.580453,1.652844,0.000000
128,2,5.000000,5.454545,5.500000,0.573833,0.472079,0.516564,1.807337,1.622676,1.699743,1.000000
128,3,5.333333,5.666667,5.818182,0.498602,0.412466,0.395810,1.668179,1.524997,1.500975,1.000000
128,4,5.333333,5.666667,5.666667,0.490076,0.486379,0.413552,1.646978,1.649214,1.533582,0.000000
128,5,5.666667,5.818182,5.666667,0.632367,0.521235,0.568301,1.928100,1.716343,1.812767,1.000000
129,1,1.666667,2.909091,2.500000,0.613175,0.682825,0.656286,1.870122,1.994297,1.949965,1.000000
129,2,2.600000,3.111111,2.545455,0.618558,0.677485,0.645112,1.879208,1.977606,1.915968,6.000000
129,3,1.636364,3.000000,2.571429,0.646353,0.604393,0.627007,1.925964,1.862560,1.888079,8.000000
129,4,3.714286,1.800000,3.250000,0.566007,0.478382,0.430230,1.764437,1.744395,1.608829,11.000000
129,5,1.833333,2.181818,2.333333,0.594720,0.564099,0.575929,1.828048,1.775580,1.796176,1.000000
130,1,1.333333,1.333333,2.800000,0.691467,0.770884,0.808910,2.015879,2.176564,2.268371,2.000000
130,2,1.333333,1.666667,1.833333,0.675006,0.711690,0.792870,1.977623,2.057777,2.221355,0.000000
130,3,1.666667,1.333333,2.000000,0.665286,0.743668,0.839488,1.969208,2.135971,2.345027,0.000000
130,4,1.272727,1.833333,1.818182,0.684423,0.628018,0.756733,2.008549,1.882052,2.159938,2.000000
130,5,1.272727,2.000000,2.166667,0.593749,0.721610,0.753687,1.829998,2.082358,2.141481,1.000000
131,1,3.666667,4.166667,5.500000,0.530324,0.608769,0.580872,1.776483,1.899389,1.860851,0.000000
131,2,4.727273,4.909091,5.818182,0.762406,0.726347,0.865368,2.168688,2.107181,2.389220,3.000000
131,3,4.363636,5.636364,5.636364,0.809114,0.733445,0.838428,2.268095,2.126570,2.338867,3.000000
131,4,4.363636,5.500000,5.818182,0.778129,0.686984,0.690567,2.247796,2.018699,2.042157,2.000000
131,5,5.272727,4.666667,5.000000,0.785042,0.776518,0.729653,2.211370,2.191521,2.101737,3.000000
132,1,4.333333,3.333333,4.000000,0.784989,0.803473,0.834473,2.209042,2.255761,2.332291,0.000000
132,2,5.666667,5.666667,5.666667,0.664840,0.653256,0.593408,1.959893,1.936403,1.818737,0.000000
132,3,5.666667,5.666667,5.666667,0.572979,0.519837,0.544245,1.790208,1.689579,1.744617,0.000000
132,4,5.666667,5.666667,5.666667,0.554365,0.543611,0.558355,1.746108,1.741563,1.762133,0.000000
132,5,5.666667,5.666667,5.666667,0.634259,0.562818,0.598432,1.918574,1.770208,1.838080,0.000000
133,1,3.454545,3.166667,3.333333,0.350474,0.390249,0.364142,1.591892,1.548214,1.574590,1.000000
133,2,3.200000,3.666667,2.833333,0.451081,0.544605,0.263651,1.635062,1.793111,1.384033,2.000000
133,3,3.500000,4.000000,4.000000,0.598631,0.563874,0.624540,1.872951,1.814639,2.009907,2.000000
133,4,3.636364,1.818182,4.181818,0.732137,0.741454,0.771696,2.100788,2.135511,2.175540,3.000000
133,5,3.636364,4.000000,5.000000,0.697206,0.796776,0.759430,2.033754,2.241021,2.173543,1.000000
134,1,5.666667,5.666667,5.454545,0.578970,0.641725,0.653825,1.792808,1.931721,1.975063,1.000000
134,2,5.666667,5.400000,5.454545,0.519079,0.620214,0.534702,1.715819,1.895785,1.740162,3.000000
134,3,6.000000,5.818182,5.600000,0.506995,0.570509,0.674777,1.678089,1.779688,2.008174,4.000000
134,4,6.000000,5.777778,5.090909,0.504048,0.591822,0.600010,1.683610,1.835299,1.907637,7.000000
135,1,3.333333,3.818182,4.500000,0.209244,0.224440,0.300547,1.257598,1.287333,1.387655,4.000000
135,2,2.500000,3.111111,4.909091,0.012156,-0.017854,0.032124,1.026916,0.989465,1.049798,4.000000
135,3,4.666667,4.909091,3.600000,0.152816,0.131955,0.135341,1.175986,1.198889,1.204491,6.000000
135,4,3.833333,4.000000,2.333333,0.004232,-0.025610,0.094912,1.020302,1.002103,1.123611,1.000000
135,5,3.500000,3.454545,2.444444,0.025254,0.249733,0.132436,1.040608,1.448444,1.167288,4.000000
136,1,5.000000,5.500000,5.666667,0.639677,0.582509,0.679830,1.911191,1.795778,1.999415,0.000000
136,2,5.666667,5.666667,5.666667,0.544785,0.555614,0.580563,1.725861,1.777959,1.796149,0.000000
137,1,3.090909,3.166667,5.000000,0.691907,0.654602,0.673235,2.006702,1.941754,1.987438,1.000000
137,2,4.181818,3.272727,4.833333,0.743475,0.721108,0.692584,2.119270,2.082977,2.025082,2.000000
137,3,3.500000,3.833333,4.909091,0.743878,0.719967,0.685878,2.130205,2.063757,2.021374,1.000000
137,4,4.363636,4.666667,5.333333,0.756412,0.670848,0.619071,2.144797,1.967187,1.879705,1.000000
137,5,4.500000,3.833333,5.666667,0.787659,0.686215,0.658195,2.212247,1.998787,1.950186,0.000000
138,1,2.000000,2.909091,4.363636,0.656388,0.833427,0.742326,1.949963,2.316900,2.127679,4.000000
138,2,1.272727,1.454545,1.333333,0.676317,0.697882,0.688404,2.003140,2.026125,2.013449,2.000000
138,3,0.857143,1.555556,0.888889,0.680121,0.645414,0.758652,1.991564,1.928500,2.165049,11.000000
138,4,1.000000,1.111111,1.500000,0.709168,0.734837,0.753346,2.066249,2.108790,2.151626,11.000000
140,1,4.000000,4.545455,4.800000,0.529590,0.637453,0.397291,1.828345,1.934584,1.681570,5.000000
140,2,4.166667,4.166667,3.636364,0.688013,0.533187,0.725002,2.035198,1.807700,2.114265,1.000000
140,3,4.500000,4.888889,5.000000,0.837452,0.596248,0.742391,2.335869,1.899608,2.146251,9.000000
140,4,5.800000,4.000000,3.800000,0.727064,0.641582,0.691574,2.091214,1.953488,2.017917,7.000000
140,5,5.272727,5.000000,5.666667,0.719504,0.619164,0.640577,2.080545,1.887289,1.910148,1.000000
141,1,5.666667,5.666667,5.666667,0.690609,0.693760,0.686343,2.000352,2.012519,1.989297,0.000000
141,2,5.666667,5.333333,5.666667,0.626887,0.592603,0.597729,1.879737,1.811763,1.819963,0.000000
141,3,5.666667,5.666667,5.666667,0.649313,0.553773,0.579388,1.921149,1.742160,1.789938,0.000000
141,4,5.666667,6.000000,5.666667,0.665351,0.642752,0.570150,1.950382,1.929634,1.773936,1.000000
142,1,3.333333,5.333333,5.666667,0.794261,0.615651,0.605113,2.236452,1.856969,1.839907,0.000000
142,2,4.833333,5.666667,5.666667,0.715772,0.576311,0.569729,2.069705,1.786462,1.776063,0.000000
142,3,5.000000,5.666667,5.666667,0.746432,0.616367,0.554916,2.137191,1.903133,1.755027,2.000000
142,4,3.818182,3.666667,5.666667,0.743172,0.806959,0.582361,2.146949,2.260314,1.802633,1.000000
142,5,3.333333,5.400000,5.666667,0.858409,0.806137,0.491563,2.390137,2.255830,1.641051,2.000000
144,1,5.333333,5.666667,5.666667,0.482340,0.488588,0.480780,1.624842,1.634936,1.623512,0.000000
144,2,5.666667,5.666667,5.666667,0.617188,0.564614,0.596724,1.870612,1.769361,1.826435,0.000000
145,1,3.833333,2.181818,3.666667,0.677007,0.616143,0.663620,1.990922,1.864431,1.947793,1.000000
145,2,3.333333,2.000000,4.333333,0.647878,0.657871,0.610107,1.922857,1.944327,1.859625,1.000000
147,1,3.166667,2.363636,4.166667,0.913209,0.884908,0.807277,2.514427,2.455065,2.258122,1.000000
147,2,3.200000,3.833333,3.666667,0.773170,0.771391,0.761705,2.184430,2.191605,2.149845,2.000000
147,3,3.166667,2.666667,3.666667,0.730636,0.783143,0.794721,2.092205,2.209911,2.228289,0.000000
147,4,2.833333,3.333333,3.636364,0.797438,0.757673,0.748486,2.241457,2.147477,2.132665,1.000000
147,5,2.166667,3.666667,3.166667,0.763713,0.727710,0.761758,2.174825,2.095648,2.156685,0.000000
149,1,1.333333,1.250000,1.555556,0.824240,0.786949,0.850771,2.319408,2.230284,2.363627,7.000000
149,2,1.333333,1.272727,1.818182,0.791510,0.763945,0.890635,2.219768,2.169083,2.463388,2.000000
149,3,1.333333,1.272727,1.333333,0.867339,0.834295,0.885032,2.398823,2.327347,2.433449,1.000000
149,4,1.333333,1.333333,1.454545,0.783125,0.784291,0.841859,2.193182,2.206198,2.342376,1.000000
150,1,2.333333,2.666667,4.166667,0.786507,0.636960,0.573541,2.221464,1.904114,1.808058,0.000000
150,2,4.800000,5.500000,3.000000,0.687309,0.687058,0.430415,2.015796,2.066285,1.547140,23.000000
150,3,2.500000,4.181818,5.166667,0.478624,0.663983,0.529110,1.638699,1.976234,1.740057,1.000000
150,4,3.000000,3.500000,3.166667,0.812934,0.602267,0.514212,2.295679,1.850820,1.680543,0.000000
150,5,2.500000,2.666667,2.666667,0.522473,0.560627,0.558574,1.696343,1.781108,1.770073,0.000000
151,1,5.333333,5.333333,5.666667,0.445348,0.475457,0.425511,1.567401,1.613363,1.536951,0.000000
151,2,5.500000,5.666667,5.666667,0.447887,0.415500,0.390776,1.570261,1.528531,1.481768,0.000000
151,3,5.333333,5.666667,5.666667,0.417787,0.384703,0.375082,1.521192,1.473889,1.458413,0.000000
151,4,5.666667,5.666667,5.666667,0.422383,0.431819,0.369160,1.530591,1.547286,1.451044,0.000000
151,5,5.666667,5.666667,5.666667,0.427823,0.433808,0.433773,1.540476,1.551621,1.551194,0.000000
