subnum,run,avg_comp,avg_stranger,avg_friend,avg_comp_RT,avg_stranger_RT,avg_friend_RT,misses
118,1,3.777778,2.666667,2.909091,0.717225,0.718563,0.665603,4.000000
118,2,4.333333,3.818182,2.909091,0.591825,0.613612,0.500209,2.000000
118,3,3.000000,2.833333,2.833333,0.274165,0.179385,0.339638,0.000000
118,4,1.333333,2.545455,2.181818,0.375458,0.422508,0.495011,2.000000
118,5,4.181818,3.833333,4.727273,0.373410,0.244978,0.379626,2.000000
120,1,4.000000,4.333333,3.666667,0.545651,0.474565,0.512486,0.000000
120,2,3.666667,3.833333,4.181818,0.419086,0.350098,0.412878,1.000000
120,3,1.833333,2.166667,2.166667,0.205445,0.275777,0.294947,0.000000
120,4,2.166667,1.833333,2.000000,0.218919,0.299804,0.258988,0.000000
120,5,2.666667,3.000000,3.666667,0.217259,0.255276,0.361219,0.000000
121,1,2.166667,4.500000,5.166667,0.519967,0.541196,0.465560,0.000000
121,2,3.666667,3.500000,5.333333,0.521467,0.555876,0.420116,0.000000
121,3,3.833333,3.818182,5.166667,0.514725,0.445206,0.505234,1.000000
121,4,3.333333,4.166667,4.500000,0.488816,0.470685,0.424656,0.000000
121,5,5.166667,4.166667,5.000000,0.385516,0.400987,0.365063,0.000000
204,1,1.333333,2.833333,4.500000,0.410643,0.461420,0.479745,0.000000
204,2,1.666667,2.166667,4.833333,0.472927,0.536947,0.430883,0.000000
204,3,1.500000,3.333333,5.666667,0.467679,0.458929,0.438536,0.000000
204,4,2.363636,3.333333,3.636364,0.525245,0.415575,0.505580,5.000000
204,5,2.500000,3.166667,3.000000,0.512357,0.568353,0.492305,0.000000
205,1,3.090909,4.727273,5.666667,0.606453,0.621153,0.366079,2.000000
205,2,3.272727,3.272727,4.909091,0.551625,0.532319,0.583044,3.000000
205,3,3.333333,4.500000,4.333333,0.576796,0.569969,0.436985,0.000000
205,4,3.500000,2.666667,4.333333,0.570379,0.482855,0.434094,0.000000
205,5,3.166667,3.272727,4.363636,0.540620,0.592400,0.451912,2.000000
206,1,4.833333,4.000000,3.833333,0.311086,0.504740,0.357839,0.000000
206,2,3.500000,3.166667,3.833333,0.385389,0.432740,0.300836,0.000000
206,3,4.666667,2.833333,2.500000,0.354063,0.323698,0.338714,0.000000
206,4,5.333333,3.166667,2.500000,0.411461,0.412306,0.336434,0.000000
206,5,5.333333,3.333333,4.333333,0.327910,0.343078,0.323285,0.000000
207,1,2.833333,2.000000,3.272727,0.606590,0.711560,0.744740,1.000000
207,2,2.363636,2.200000,2.444444,0.603796,0.551983,0.747501,6.000000
207,3,2.333333,2.166667,2.545455,0.587551,0.508904,0.637469,1.000000
207,4,2.363636,1.833333,3.166667,0.494502,0.358509,0.528613,1.000000
208,1,3.636364,5.000000,5.666667,0.693583,0.402073,0.351115,1.000000
208,2,5.000000,5.333333,5.666667,0.461679,0.359875,0.361944,0.000000
208,3,4.333333,5.333333,5.666667,0.338781,0.374923,0.418051,0.000000
208,4,4.500000,5.666667,5.666667,0.507181,0.407706,0.351514,0.000000
208,5,5.666667,5.166667,5.666667,0.403555,0.472202,0.301976,0.000000
209,1,4.666667,3.166667,3.500000,0.532890,0.433882,0.502077,0.000000
209,2,3.666667,2.833333,4.333333,0.349158,0.485813,0.406506,0.000000
209,3,2.500000,4.000000,4.333333,0.598561,0.537401,0.429446,0.000000
209,4,4.166667,4.166667,4.000000,0.677346,0.470963,0.594722,0.000000
209,5,4.666667,4.333333,5.500000,0.644247,0.706491,0.402048,0.000000
210,1,4.727273,3.166667,5.500000,0.766713,0.717176,0.648022,1.000000
210,2,3.833333,3.666667,5.666667,0.581422,0.582127,0.481984,0.000000
210,3,4.333333,4.333333,5.666667,0.604652,0.693553,0.485607,0.000000
210,4,2.500000,1.666667,5.666667,0.583592,0.509230,0.537708,0.000000
211,1,5.000000,5.000000,5.666667,0.440635,0.716464,0.779411,20.000000
211,2,5.272727,4.800000,6.000000,0.752591,0.732648,0.685094,6.000000
211,3,4.666667,5.000000,4.800000,0.860425,0.739130,0.816846,11.000000
211,4,5.000000,4.250000,5.200000,0.789410,0.771177,0.713834,8.000000
212,1,5.666667,5.666667,5.666667,0.402528,0.408952,0.403423,0.000000
212,2,5.666667,5.666667,5.666667,0.469381,0.475659,0.414989,0.000000
212,3,5.666667,5.666667,5.666667,0.326680,0.343319,0.345208,0.000000
212,4,5.666667,5.666667,5.666667,0.280988,0.369080,0.334501,0.000000
213,1,4.000000,3.272727,4.333333,0.637958,0.709964,0.590882,2.000000
213,2,3.333333,3.500000,4.833333,0.481239,0.530168,0.473113,0.000000
213,3,3.666667,3.666667,4.333333,0.577850,0.585742,0.636251,0.000000
215,1,3.666667,2.600000,2.181818,0.626108,0.542814,0.596993,3.000000
215,2,1.833333,2.000000,2.333333,0.361302,0.420746,0.471318,0.000000
215,3,2.333333,1.333333,3.000000,0.401098,0.360172,0.534497,0.000000
215,4,1.500000,3.500000,3.333333,0.355309,0.392229,0.428150,0.000000
216,1,1.833333,2.333333,3.500000,0.524188,0.589644,0.481618,0.000000
216,2,2.833333,2.666667,1.833333,0.504360,0.414450,0.459684,0.000000
216,3,1.500000,1.333333,3.000000,0.578331,0.542247,0.441041,0.000000
216,4,1.666667,2.166667,1.666667,0.583156,0.473884,0.438293,0.000000
217,1,1.333333,5.090909,4.833333,0.380376,0.432671,0.382921,1.000000
217,2,2.166667,3.000000,1.833333,0.499378,0.674319,0.608838,0.000000
217,3,1.333333,3.833333,3.500000,0.443295,0.641346,0.553986,0.000000
217,4,2.363636,3.333333,3.333333,0.440742,0.485004,0.472714,1.000000
218,1,4.222222,4.363636,4.181818,0.681829,0.644356,0.717066,5.000000
218,2,4.333333,5.166667,4.727273,0.759487,0.713626,0.773066,1.000000
218,3,5.090909,5.333333,3.666667,0.691748,0.726807,0.661049,1.000000
218,4,4.500000,4.666667,5.500000,0.623276,0.611973,0.571323,0.000000
218,5,5.500000,5.000000,5.333333,0.782332,0.765586,0.754076,0.000000
220,1,2.500000,3.636364,4.909091,0.511408,0.545134,0.593364,2.000000
220,2,2.000000,5.272727,4.833333,0.647318,0.517813,0.518823,1.000000
220,3,3.454545,4.000000,4.666667,0.597763,0.531078,0.387880,2.000000
220,4,2.833333,4.333333,5.000000,0.445449,0.533357,0.512078,0.000000
220,5,2.000000,4.333333,3.818182,0.455132,0.589507,0.498561,2.000000
221,1,3.272727,5.333333,5.666667,0.480933,0.442572,0.349952,1.000000
221,2,2.833333,4.166667,4.166667,0.389740,0.364040,0.416431,0.000000
221,3,5.666667,5.666667,5.500000,0.288762,0.224449,0.231649,0.000000
221,4,5.666667,5.666667,5.666667,0.232746,0.200493,0.178114,0.000000
