subnum,avg_compFair,avg_compUnfair,avg_socialFair,avg_socialUnfair,avg_compFair_logRT,avg_compUnfair_logRT,avg_socialFair_logRT,avg_socialUnfair_logRT,avg_compFair_RT,avg_compUnfair_RT,avg_socialFair_RT,avg_socialUnfair_RT,misses
125,0.875000,0.250000,0.600000,0.450806,0.492453,0.545039,0.545821,0.553459,1.644632,1.738420,1.746347,1.758775,0.000000
126,1.000000,1.000000,1.000000,1.000000,0.320784,0.370960,0.276283,0.308951,1.392263,1.472288,1.334624,1.389559,0.000000
127,0.593750,0.129167,0.409375,0.231250,0.270528,0.302473,0.391097,0.365160,1.335020,1.391426,1.490373,1.446111,0.000000
128,0.125000,0.000000,0.106250,0.081250,0.073889,0.117760,0.085491,0.095003,1.090228,1.174892,1.111325,1.122762,0.000000
129,0.870833,0.250000,0.671875,0.471875,0.134865,0.069653,0.060376,0.067941,1.171448,1.075808,1.067787,1.076587,0.000000
130,0.928571,1.000000,1.000000,1.000000,0.528739,0.494772,0.476180,0.478168,1.718946,1.651890,1.625148,1.626401,0.000000
131,1.000000,0.875000,0.833333,0.806452,0.426723,0.427458,0.407845,0.376206,1.561282,1.592887,1.580118,1.518275,0.000000
132,1.000000,0.966667,1.000000,1.000000,0.469981,0.494160,0.505419,0.518642,1.605640,1.641897,1.669233,1.694222,0.000000
133,1.000000,1.000000,0.950000,0.968750,0.318749,0.259971,0.446419,0.405721,1.417383,1.338384,1.617413,1.545080,0.000000
134,1.000000,0.825893,0.953456,0.893860,0.093139,0.090625,0.170049,0.153582,1.113764,1.106196,1.232509,1.205190,0.000000
135,0.333333,0.000000,0.173707,0.127747,0.163033,0.152200,0.167708,0.218315,1.195332,1.192715,1.217160,1.299583,0.000000
136,0.937500,0.656250,0.806250,0.703125,0.134785,0.352736,0.188042,0.176094,1.157787,1.508410,1.248416,1.222396,0.000000
137,0.750000,0.156250,0.575269,0.366419,0.332332,0.282394,0.265506,0.233460,1.424385,1.376985,1.371973,1.334204,0.000000
138,0.923077,0.633333,0.825225,0.762281,0.293110,0.464539,0.339027,0.384593,1.403390,1.698769,1.497970,1.563901,0.000000
140,0.843750,0.775000,0.832131,0.725000,0.160335,0.443819,0.280361,0.333045,1.194431,1.655587,1.372406,1.460595,0.000000
141,0.966667,1.000000,1.000000,1.000000,0.244486,0.161579,0.232305,0.244064,1.307493,1.202477,1.296559,1.313392,0.000000
142,1.000000,1.000000,0.953125,0.925000,0.522732,0.460513,0.483443,0.462235,1.703871,1.606501,1.647066,1.615412,0.000000
144,0.937500,0.843750,0.925000,0.871875,0.056993,0.095778,0.124019,0.149073,1.061719,1.115394,1.166142,1.201401,0.000000
145,0.732143,0.187500,0.526442,0.320112,0.433318,0.351022,0.384457,0.339731,1.609333,1.450455,1.509899,1.447529,0.000000
147,0.937500,0.656250,0.832131,0.804167,0.158480,0.424282,0.344302,0.375578,1.192311,1.614632,1.464036,1.502707,0.000000
149,0.968750,0.904167,0.971371,0.869444,0.127491,0.071903,0.146117,0.178987,1.165382,1.079275,1.199975,1.249999,0.000000
150,0.875000,0.687500,0.879006,0.742388,0.462521,0.413718,0.415162,0.410119,1.621248,1.547139,1.534846,1.527691,0.000000
151,0.843750,0.218750,0.575000,0.396875,0.091770,0.045222,0.115453,0.113211,1.105703,1.047659,1.138661,1.141184,0.000000
